"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"30",30,1992-10-01,1992-12-12,"Unknown",2,0.0109514031485284,0.197125256673511,1,0,1992-10-30,1992-11-03
"31",31,2017-01-31,2017-04-14,"Unknown",0,NA,0.199863107460643,1,0,NA,NA
"32",32,1991-03-15,1991-05-29,"Unknown",1,NA,0.205338809034908,1,0,1991-04-05,1991-04-05
"33",33,2012-04-01,2012-06-15,"Unknown",0,NA,0.205338809034908,1,0,NA,NA
"34",34,2010-04-15,2010-07-01,"Unknown",1,NA,0.210814510609172,1,0,2010-06-03,2010-06-03
"35",35,2006-12-26,2007-03-14,"Unknown",0,NA,0.213552361396304,1,0,NA,NA
"36",36,2014-01-10,2014-03-31,"Unknown",0,NA,0.219028062970568,1,0,NA,NA
"37",37,1992-09-15,1992-12-04,"Unknown",3,0.0082135523613963,0.219028062970568,1,0,1992-10-30,1992-11-03
"38",38,2018-12-10,2019-03-01,"Unknown",0,NA,0.2217659137577,1,0,NA,NA
"39",39,1992-12-16,1993-03-08,"Male",1,NA,0.224503764544832,1,0,1993-01-08,1993-01-08
"40",40,2018-11-01,2019-01-25,"Unknown",0,NA,0.232717316906229,1,0,NA,NA
"41",41,2002-11-02,2003-01-27,"Unknown",3,0.0410677618069815,0.235455167693361,1,0,2002-11-19,2002-12-06
"42",42,2018-12-07,2019-03-06,"Unknown",0,NA,0.243668720054757,1,0,NA,NA
"43",43,2010-12-21,2011-03-21,"Unknown",1,NA,0.246406570841889,1,0,2010-12-24,2010-12-24
"44",44,2012-12-06,2013-03-08,"Unknown",0,NA,0.251882272416153,1,0,NA,NA
"45",45,1993-11-01,1994-02-07,"Unknown",0,NA,0.268309377138946,1,0,NA,NA
"46",46,2004-03-01,2004-06-07,"Unknown",4,0.0657084188911704,0.268309377138946,1,0,2004-03-14,2004-04-11
"47",47,2017-04-01,2017-07-08,"Unknown",1,NA,0.268309377138946,1,0,2017-05-31,2017-05-31
"48",48,2015-12-19,2016-03-27,"Unknown",0,NA,0.271047227926078,1,0,NA,NA
"49",49,2015-10-25,2016-02-02,"Unknown",1,NA,0.27378507871321,1,0,2015-10-26,2015-10-26
"50",50,1991-12-15,1992-03-27,"Unknown",0,NA,0.281998631074606,1,0,NA,NA
"51",51,2015-12-01,2016-03-13,"Unknown",0,NA,0.281998631074606,1,0,NA,NA
"52",52,1995-12-01,1996-03-14,"Unknown",0,NA,0.284736481861739,1,0,NA,NA
"53",53,2017-10-14,2018-01-28,"Unknown",3,0.0684462696783025,0.290212183436003,1,0,2017-10-17,2017-12-02
"54",54,2004-01-01,2004-04-18,"Unknown",3,0.0629705681040383,0.295687885010267,1,0,2004-03-14,2004-04-09
